"id","year","month","day","element","value"
"MX17004",2010,1,30,"TMAX",278
"MX17004",2010,1,30,"TMIN",145
"MX17004",2010,2,2,"TMAX",273
"MX17004",2010,2,2,"TMIN",144
"MX17004",2010,2,3,"TMAX",241
"MX17004",2010,2,3,"TMIN",144
"MX17004",2010,2,11,"TMAX",297
"MX17004",2010,2,11,"TMIN",134
"MX17004",2010,2,23,"TMAX",299
"MX17004",2010,2,23,"TMIN",107
"MX17004",2010,3,5,"TMAX",321
"MX17004",2010,3,5,"TMIN",142
"MX17004",2010,3,10,"TMAX",345
"MX17004",2010,3,10,"TMIN",168
"MX17004",2010,3,16,"TMAX",311
"MX17004",2010,3,16,"TMIN",176
"MX17004",2010,4,27,"TMAX",363
"MX17004",2010,4,27,"TMIN",167
"MX17004",2010,5,27,"TMAX",332
"MX17004",2010,5,27,"TMIN",182
"MX17004",2010,6,17,"TMAX",280
"MX17004",2010,6,17,"TMIN",175
"MX17004",2010,6,29,"TMAX",301
"MX17004",2010,6,29,"TMIN",180
"MX17004",2010,7,3,"TMAX",286
"MX17004",2010,7,3,"TMIN",175
"MX17004",2010,7,14,"TMAX",299
"MX17004",2010,7,14,"TMIN",165
"MX17004",2010,8,5,"TMAX",296
"MX17004",2010,8,5,"TMIN",158
"MX17004",2010,8,8,"TMAX",290
"MX17004",2010,8,8,"TMIN",173
"MX17004",2010,8,13,"TMAX",298
"MX17004",2010,8,13,"TMIN",165
"MX17004",2010,8,23,"TMAX",264
"MX17004",2010,8,23,"TMIN",150
"MX17004",2010,8,25,"TMAX",297
"MX17004",2010,8,25,"TMIN",156
"MX17004",2010,8,29,"TMAX",280
"MX17004",2010,8,29,"TMIN",153
"MX17004",2010,8,31,"TMAX",254
"MX17004",2010,8,31,"TMIN",154
"MX17004",2010,10,5,"TMAX",270
"MX17004",2010,10,5,"TMIN",140
"MX17004",2010,10,7,"TMAX",281
"MX17004",2010,10,7,"TMIN",129
"MX17004",2010,10,14,"TMAX",295
"MX17004",2010,10,14,"TMIN",130
"MX17004",2010,10,15,"TMAX",287
"MX17004",2010,10,15,"TMIN",105
"MX17004",2010,10,28,"TMAX",312
"MX17004",2010,10,28,"TMIN",150
"MX17004",2010,11,2,"TMAX",313
"MX17004",2010,11,2,"TMIN",163
"MX17004",2010,11,4,"TMAX",272
"MX17004",2010,11,4,"TMIN",120
"MX17004",2010,11,5,"TMAX",263
"MX17004",2010,11,5,"TMIN",79
"MX17004",2010,11,26,"TMAX",281
"MX17004",2010,11,26,"TMIN",121
"MX17004",2010,11,27,"TMAX",277
"MX17004",2010,11,27,"TMIN",142
"MX17004",2010,12,1,"TMAX",299
"MX17004",2010,12,1,"TMIN",138
"MX17004",2010,12,6,"TMAX",278
"MX17004",2010,12,6,"TMIN",105
