,Country,WB.Code,Region,CPI.2015,CPI.2015.Rank,HDI.2015,HDI.2015.Rank
1,Afghanistan,AFG,AP,0.11,162,0.479,144
2,Albania,ALB,ECA,0.36,85,0.764,66
3,Algeria,DZA,MENA,0.36,85,0.745,73
4,Angola,AGO,SSA,0.15,159,0.533,126
5,Argentina,ARG,AME,0.32,102,0.827,42
6,Armenia,ARM,ECA,0.35,92,0.743,74
7,Australia,AUS,AP,0.79,13,0.939,2
8,Austria,AUT,WE/EU,0.76,16,0.893,23
9,Azerbaijan,AZE,ECA,0.29,115,0.759,69
10,Bahrain,BHR,MENA,0.51,47,0.824,44
11,Bangladesh,BGD,AP,0.25,135,0.579,116
12,Belarus,BLR,ECA,0.32,102,0.796,49
13,Belgium,BEL,WE/EU,0.77,15,0.896,21
14,Benin,BEN,SSA,0.37,80,0.485,142
15,Bhutan,BTN,AP,0.65,27,0.607,112
16,Bolivia,BOL,AME,0.34,95,0.674,99
17,Bosnia and Herzegovina,BIH,ECA,0.38,73,0.75,71
18,Botswana,BWA,SSA,0.63,29,0.698,90
19,Brazil,BRA,AME,0.38,73,0.754,70
20,Bulgaria,BGR,WE/EU,0.41,66,0.794,52
21,Burkina Faso,BFA,SSA,0.38,73,0.402,160
22,Burundi,BDI,SSA,0.21,146,0.404,159
23,Cape Verde,CPV,SSA,0.55,39,0.648,103
24,Cambodia,KHM,AP,0.21,146,0.563,120
25,Cameroon,CMR,SSA,0.27,126,0.518,129
26,Canada,CAN,AME,0.83,10,0.92,10
27,Central African Republic,CAF,SSA,0.24,141,0.352,163
28,Chad,TCD,SSA,0.22,143,0.396,161
29,Chile,CHL,AME,0.7,23,0.847,35
30,China,CHN,AP,0.37,80,0.738,80
31,Colombia,COL,AME,0.37,80,0.727,83
32,Comoros,COM,SSA,0.26,132,0.498,134
33,Congo,COG,SSA,0.23,142,0.592,114
34,Democratic Republic of Congo,COD,SSA,0.22,143,0.435,151
35,Costa Rica,CRI,AME,0.55,39,0.776,58
36,Côte d’Ivoire,CIV,SSA,0.32,102,0.474,146
37,Croatia,HRV,WE/EU,0.51,47,0.827,42
38,Cuba,CUB,AME,0.47,53,0.775,60
39,Cyprus,CYP,WE/EU,0.61,31,0.856,30
40,Czech Republic,CZE,WE/EU,0.56,37,0.878,27
41,Denmark,DNK,WE/EU,0.91,1,0.925,5
42,Djibouti,DJI,SSA,0.34,95,0.473,147
43,Dominican Republic,DOM,AME,0.33,99,0.722,86
44,Ecuador,ECU,AME,0.32,102,0.739,79
45,Egypt,EGY,MENA,0.36,85,0.691,94
46,El Salvador,SLV,AME,0.39,69,0.68,98
47,Eritrea,ERI,SSA,0.18,150,0.42,154
48,Estonia,EST,WE/EU,0.7,23,0.865,29
49,Ethiopia,ETH,SSA,0.33,99,0.448,149
50,Finland,FIN,WE/EU,0.9,3,0.895,22
51,France,FRA,WE/EU,0.7,23,0.897,20
52,Gabon,GAB,SSA,0.34,95,0.697,91
53,Gambia,GMB,SSA,0.28,119,0.452,148
54,Georgia,GEO,ECA,0.52,45,0.769,62
55,Germany,DEU,WE/EU,0.81,11,0.926,4
56,Ghana,GHA,SSA,0.47,53,0.579,116
57,Greece,GRC,WE/EU,0.46,55,0.866,28
58,Guatemala,GTM,AME,0.28,119,0.64,106
59,Guinea,GIN,SSA,0.25,135,0.414,158
60,Guinea-Bissau,GNB,SSA,0.17,154,0.424,153
61,Guyana,GUY,AME,0.29,115,0.638,108
62,Haiti,HTI,AME,0.17,154,0.493,138
63,Honduras,HND,AME,0.31,107,0.625,110
64,Hong Kong,HKG,AP,0.75,18,0.917,12
65,Hungary,HUN,WE/EU,0.51,47,0.836,40
66,Iceland,ISL,WE/EU,0.79,13,0.921,9
67,India,IND,AP,0.38,73,0.624,111
68,Indonesia,IDN,AP,0.36,85,0.689,95
69,Iran,IRN,MENA,0.27,126,0.774,61
70,Iraq,IRQ,MENA,0.16,157,0.649,102
71,Ireland,IRL,WE/EU,0.75,18,0.923,8
72,Israel,ISR,MENA,0.61,31,0.899,18
73,Italy,ITA,WE/EU,0.44,58,0.887,25
74,Jamaica,JAM,AME,0.41,66,0.73,82
75,Japan,JPN,AP,0.75,18,0.903,16
76,Jordan,JOR,MENA,0.53,42,0.742,76
77,Kazakhstan,KAZ,ECA,0.28,119,0.794,52
78,Kenya,KEN,SSA,0.25,135,0.555,123
79,Korea (North),PRK,AP,0.08,163,0.901,17
80,Kuwait,KWT,MENA,0.49,52,0.8,48
81,Kyrgyzstan,KGZ,ECA,0.28,119,0.664,101
82,Laos,LAO,AP,0.25,135,0.586,115
83,Latvia,LVA,WE/EU,0.56,37,0.83,41
84,Lebanon,LBN,MENA,0.28,119,0.763,67
85,Lesotho,LSO,SSA,0.44,58,0.497,136
86,Liberia,LBR,SSA,0.37,80,0.427,152
87,Libya,LBY,MENA,0.16,157,0.716,87
88,Lithuania,LTU,WE/EU,0.59,35,0.848,34
89,Luxembourg,LUX,WE/EU,0.85,7,0.898,19
90,Madagascar,MDG,SSA,0.28,119,0.512,133
91,Malawi,MWI,SSA,0.31,107,0.476,145
92,Malaysia,MYS,AP,0.5,51,0.789,54
93,Mali,MLI,SSA,0.35,92,0.442,150
94,Malta,MLT,WE/EU,0.6,33,0.856,30
95,Mauritania,MRT,SSA,0.31,107,0.513,132
96,Mauritius,MUS,SSA,0.53,42,0.781,56
97,Mexico,MEX,AME,0.31,107,0.762,68
98,Moldova,MDA,ECA,0.33,99,0.699,89
99,Mongolia,MNG,AP,0.39,69,0.735,81
100,Montenegro,MON,ECA,0.44,58,0.807,45
101,Morocco,MAR,MENA,0.36,85,0.647,104
102,Mozambique,MOZ,SSA,0.31,107,0.418,156
103,Myanmar,MMR,AP,0.22,143,0.556,122
104,Namibia,NAM,SSA,0.53,42,0.64,106
105,Nepal,NPL,AP,0.27,126,0.558,121
106,Netherlands,NLD,WE/EU,0.84,9,0.924,7
107,New Zealand,NZL,AP,0.91,1,0.915,13
108,Nicaragua,NIC,AME,0.27,126,0.645,105
109,Niger,NER,SSA,0.34,95,0.353,162
110,Nigeria,NGA,SSA,0.26,132,0.527,128
111,Norway,NOR,WE/EU,0.88,5,0.949,1
112,Oman,OMN,MENA,0.45,57,0.796,49
113,Pakistan,PAK,AP,0.3,113,0.55,124
114,Panama,PAN,AME,0.39,69,0.788,55
115,Papua New Guinea,PNG,AP,0.25,135,0.516,130
116,Paraguay,PRY,AME,0.27,126,0.693,92
117,Peru,PER,AME,0.36,85,0.74,77
118,Philippines,PHL,AP,0.35,92,0.682,97
119,Poland,POL,WE/EU,0.63,29,0.855,33
120,Portugal,PRT,WE/EU,0.64,28,0.843,38
121,Qatar,QAT,MENA,0.71,22,0.856,30
122,Romania,ROM,WE/EU,0.46,55,0.802,47
123,Russia,RUS,ECA,0.29,115,0.804,46
124,Rwanda,RWA,SSA,0.54,41,0.498,134
125,Sao Tome and Principe,STP,SSA,0.42,63,0.574,119
126,Saudi Arabia,SAU,MENA,0.52,45,0.847,35
127,Senegal,SEN,SSA,0.44,58,0.494,137
128,Serbia,SCG,ECA,0.4,68,0.776,58
129,Sierra Leone,SLE,SSA,0.29,115,0.42,154
130,Singapore,SGP,AP,0.85,7,0.925,5
131,Slovakia,SVK,WE/EU,0.51,47,0.845,37
132,Slovenia,SVN,WE/EU,0.6,33,0.89,24
133,South Africa,ZAF,SSA,0.44,58,0.666,100
134,South Sudan,SSD,SSA,0.15,159,0.418,156
135,Spain,ESP,WE/EU,0.58,36,0.884,26
136,Sri Lanka,LKA,AP,0.37,80,0.766,65
137,Sudan,SDN,SSA,0.12,161,0.49,140
138,Suriname,SUR,AME,0.36,85,0.725,84
139,Sweden,SWE,WE/EU,0.89,4,0.913,14
140,Switzerland,CHE,WE/EU,0.86,6,0.939,2
141,Syria,SYR,MENA,0.18,150,0.536,125
142,Tajikistan,TJK,ECA,0.26,132,0.627,109
143,Tanzania,TZA,SSA,0.3,113,0.531,127
144,Thailand,THA,AP,0.38,73,0.74,77
145,The FYR of Macedonia,MKD,ECA,0.42,63,0.748,72
146,Timor-Leste,TLS,AP,0.28,119,0.606,113
147,Togo,TGO,SSA,0.32,102,0.487,141
148,Trinidad and Tobago,TTO,AME,0.39,69,0.78,57
149,Tunisia,TUN,MENA,0.38,73,0.725,84
150,Turkey,TUR,ECA,0.42,63,0.767,63
151,Turkmenistan,TKM,ECA,0.18,150,0.692,93
152,Uganda,UGA,SSA,0.25,135,0.493,138
153,Ukraine,UKR,ECA,0.27,126,0.743,74
154,United Arab Emirates,ARE,MENA,0.7,23,0.84,39
155,United Kingdom,GBR,WE/EU,0.81,11,0.91,15
156,Unites States,USA,AME,0.76,16,0.92,10
157,Uruguay,URY,AME,0.74,21,0.795,51
158,Uzbekistan,UZB,ECA,0.19,149,0.701,88
159,Venezuela,VEN,AME,0.17,154,0.767,63
160,Vietnam,VNM,AP,0.31,107,0.683,96
161,Yemen,YEM,MENA,0.18,150,0.482,143
162,Zambia,ZMB,SSA,0.38,73,0.579,116
163,Zimbabwe,ZWE,SSA,0.21,146,0.516,130
