price,size
234314.144,643.09
228581.528,656.22
281626.336,487.29
401255.608,1504.75
458674.256,1275.46
245050.28,575.19
265129.064,570.89
175716.48,620.82
331101.344,682.26
218630.608,694.52
279555.096,1060.36
494778.992,1842.51
215472.104,694.52
418753.008,1009.25
444192.008,1300.96
440201.616,1379.72
248337.6,690.54
234178.16,623.94
225451.984,681.07
299416.976,1027.76
268125.08,620.71
171795.24,549.69
412569.472,1207.45
183459.488,518.38
168047.264,525.81
362519.72,1103.3
271793.312,570.89
406852.304,1334.1
297760.44,681.07
368988.432,1496.36
301635.728,1010.33
225452.32,681.07
207742.248,597.9
191486.896,525.81
285223.176,857.54
302000.92,622.97
269225.92,823.21
233493.208,570.25
292965.216,685.48
245747.2,698.29
310045.712,1021.95
217468.224,682.26
287350,823.21
414682.648,1334.1
293044.496,1060.36
300061.48,698.29
204302.976,633.19
201778.048,698.29
257828.416,633.19
262423.504,617.05
225656.12,647.5
393069.76,1021.95
258637.008,1021.95
269523.056,727.88
255629.16,647.5
500681.128,1508.84
320345.52,1032.06
395242.096,1283.85
330677.128,827.84
251332.592,569.17
251188.824,828.16
263311.696,698.5
359674.44,1205.62
334938.872,1021.95
302393.384,685.48
304587.272,827.09
355251.2,1009.25
271726.752,549.8
294582.944,685.48
454512.76,1496.36
276875.632,1021.95
181587.576,643.41
298926.496,656.22
211724.096,549.8
228313.024,685.48
286161.6,685.48
382120.152,1183.46
365863.936,1334.1
251560.04,682.26
342988.456,1188.62
180307.216,681.07
408637.816,1122.34
190909.056,681.07
282683.544,643.09
303597.216,685.48
376253.808,1009.25
154282.128,479.75
327252.112,1028.41
211904.536,601.66
354512.112,1236.93
251140.656,694.52
338078.168,1071.55
298170.88,694.52
266684.248,698.29
262477.856,698.29
252460.4,549.8
310522.592,1037.44
383635.568,1504.75
225145.248,648.29
274922.856,705.29
