SAT,"Rand 1,2,3",GPA
1714,1,2.4
1664,3,2.52
1760,3,2.54
1685,3,2.74
1693,2,2.83
1670,1,2.91
1764,2,3
1764,1,3
1792,2,3.01
1850,3,3.01
1735,3,3.02
1775,2,3.07
1735,1,3.08
1712,3,3.08
1773,2,3.12
1872,2,3.17
1755,3,3.17
1674,2,3.17
1842,3,3.17
1786,3,3.19
1761,3,3.19
1722,3,3.19
1663,3,3.2
1687,1,3.21
1974,1,3.24
1826,1,3.28
1787,1,3.28
1821,3,3.28
2020,1,3.28
1794,2,3.28
1769,1,3.28
1934,1,3.28
1775,1,3.29
1855,3,3.29
1880,2,3.29
1849,2,3.31
1808,3,3.32
1954,3,3.34
1777,3,3.37
1831,2,3.37
1865,3,3.37
1850,1,3.38
1966,3,3.38
1702,1,3.39
1990,1,3.39
1925,2,3.4
1824,2,3.4
1956,1,3.4
1857,1,3.41
1979,3,3.41
1802,3,3.41
1855,1,3.42
1907,2,3.42
1634,2,3.42
1879,1,3.44
1887,1,3.47
1730,2,3.47
1953,1,3.47
1781,2,3.47
1891,2,3.48
1964,1,3.49
1808,3,3.49
1893,3,3.5
2041,3,3.51
1893,1,3.51
1832,2,3.52
1850,3,3.52
1934,2,3.54
1861,2,3.58
1931,3,3.58
1933,3,3.59
1778,1,3.59
1975,1,3.6
1934,3,3.6
2021,3,3.61
2015,3,3.62
1997,1,3.64
2020,2,3.65
1843,3,3.71
1936,3,3.71
1810,1,3.71
1987,3,3.73
1962,1,3.76
2050,2,3.81
