,duration,y
0,117,no
1,274,yes
2,167,no
3,686,yes
4,157,no
5,126,no
6,84,no
7,17,no
8,704,yes
9,185,no
10,374,no
11,91,yes
12,169,yes
13,249,no
14,215,no
15,324,yes
16,159,yes
17,120,yes
18,337,yes
19,640,no
20,663,yes
21,403,yes
22,300,no
23,255,yes
24,293,yes
25,68,no
26,266,yes
27,272,yes
28,398,yes
29,126,no
30,35,no
31,126,no
32,683,yes
33,280,yes
34,161,no
35,191,no
36,1135,yes
37,81,no
38,1447,yes
39,436,no
40,132,no
41,328,yes
42,175,no
43,145,no
44,155,yes
45,115,yes
46,57,no
47,170,no
48,172,no
49,310,yes
50,711,no
51,63,no
52,87,no
53,154,no
54,124,no
55,328,yes
56,147,no
57,64,yes
58,739,yes
59,360,yes
60,105,no
61,113,no
62,767,yes
63,254,yes
64,341,no
65,301,no
66,148,no
67,171,yes
68,712,yes
69,104,no
70,39,no
71,229,yes
72,311,no
73,238,yes
74,364,yes
75,133,no
76,261,yes
77,389,no
78,160,no
79,70,no
80,206,yes
81,281,yes
82,166,yes
83,299,no
84,258,no
85,1011,yes
86,169,yes
87,355,no
88,254,yes
89,96,no
90,217,no
91,85,yes
92,232,yes
93,184,yes
94,571,yes
95,621,yes
96,600,yes
97,59,no
98,1130,yes
99,171,no
100,840,yes
101,206,no
102,747,yes
103,263,no
104,331,yes
105,334,no
106,268,no
107,208,yes
108,268,yes
109,346,no
110,363,yes
111,113,no
112,173,no
113,68,no
114,539,yes
115,35,no
116,119,no
117,728,yes
118,412,yes
119,314,no
120,99,no
121,25,no
122,252,yes
123,1348,yes
124,314,no
125,955,yes
126,224,yes
127,406,no
128,205,yes
129,266,yes
130,153,no
131,195,yes
132,316,yes
133,768,yes
134,300,yes
135,483,yes
136,391,no
137,276,yes
138,275,no
139,175,no
140,126,no
141,101,no
142,653,yes
143,286,yes
144,650,yes
145,450,yes
146,239,no
147,125,no
148,1855,yes
149,128,no
150,951,no
151,545,no
152,1019,yes
153,689,yes
154,58,no
155,156,yes
156,626,no
157,984,yes
158,632,no
159,1068,yes
160,309,yes
161,384,yes
162,846,yes
163,264,no
164,173,yes
165,288,no
166,154,yes
167,151,no
168,88,no
169,394,no
170,474,no
171,330,yes
172,292,yes
173,141,no
174,154,no
175,1150,yes
176,194,yes
177,113,no
178,423,yes
179,222,yes
180,345,no
181,141,no
182,275,no
183,809,yes
184,132,no
185,207,no
186,16,no
187,98,no
188,1806,yes
189,175,yes
190,193,yes
191,374,no
192,86,no
193,460,yes
194,207,no
195,11,no
196,496,yes
197,80,no
198,483,no
199,269,yes
200,149,no
201,617,yes
202,323,yes
203,815,yes
204,126,no
205,267,no
206,320,yes
207,697,yes
208,274,no
209,1062,yes
210,209,no
211,259,no
212,854,yes
213,256,yes
214,82,no
215,693,yes
216,738,yes
217,63,yes
218,207,yes
219,51,no
220,406,yes
221,546,yes
222,64,no
223,158,no
224,742,yes
225,211,no
226,633,yes
227,179,yes
228,1340,yes
229,980,yes
230,454,no
231,212,no
232,361,no
233,873,yes
234,629,yes
235,1148,yes
236,229,yes
237,202,no
238,342,no
239,383,no
240,151,no
241,568,yes
242,97,no
243,69,no
244,1013,no
245,1357,yes
246,417,yes
247,102,no
248,873,yes
249,525,yes
250,180,no
251,609,no
252,72,no
253,73,no
254,151,no
255,458,yes
256,238,yes
257,82,no
258,363,yes
259,396,yes
260,463,yes
261,634,yes
262,1422,yes
263,251,no
264,163,yes
265,135,no
266,345,no
267,144,no
268,525,no
269,388,yes
270,760,yes
271,360,yes
272,549,no
273,107,no
274,1311,yes
275,294,yes
276,544,yes
277,143,no
278,273,no
279,201,no
280,762,yes
281,143,no
282,886,yes
283,2301,yes
284,252,no
285,958,no
286,76,no
287,1234,yes
288,265,no
289,204,yes
290,157,no
291,250,yes
292,456,no
293,114,no
294,308,yes
295,154,no
296,185,no
297,73,no
298,73,no
299,604,no
300,314,no
301,196,yes
302,184,no
303,257,no
304,188,no
305,146,yes
306,216,no
307,1152,yes
308,553,no
309,174,yes
310,159,no
311,183,yes
312,49,no
313,249,yes
314,941,yes
315,181,yes
316,988,yes
317,353,no
318,569,yes
319,461,no
320,178,yes
321,109,no
322,113,no
323,111,no
324,73,no
325,213,yes
326,322,no
327,130,yes
328,1424,yes
329,9,no
330,1276,yes
331,854,yes
332,1319,yes
333,203,yes
334,56,no
335,199,no
336,690,yes
337,230,no
338,673,yes
339,458,yes
340,475,yes
341,135,no
342,1176,yes
343,344,no
344,40,no
345,219,yes
346,565,yes
347,2653,yes
348,218,yes
349,141,no
350,375,yes
351,578,yes
352,58,no
353,491,yes
354,592,yes
355,188,no
356,424,yes
357,163,yes
358,11,no
359,95,yes
360,191,no
361,116,no
362,198,no
363,149,no
364,424,yes
365,1009,yes
366,247,no
367,295,yes
368,393,no
369,155,no
370,1602,yes
371,1138,yes
372,285,yes
373,418,yes
374,403,yes
375,152,no
376,224,no
377,109,no
378,805,yes
379,244,yes
380,314,yes
381,233,yes
382,183,no
383,662,yes
384,232,yes
385,180,no
386,336,no
387,74,no
388,148,no
389,405,yes
390,143,no
391,59,no
392,449,yes
393,211,yes
394,1091,yes
395,239,no
396,262,no
397,228,no
398,379,no
399,585,no
400,338,yes
401,123,no
402,374,no
403,712,yes
404,83,no
405,159,no
406,357,no
407,1087,yes
408,340,no
409,898,no
410,401,no
411,582,yes
412,519,yes
413,455,yes
414,257,no
415,258,yes
416,482,yes
417,42,no
418,531,yes
419,259,no
420,530,yes
421,289,yes
422,383,no
423,227,no
424,346,yes
425,248,no
426,408,yes
427,179,yes
428,344,yes
429,771,yes
430,698,no
431,129,yes
432,387,yes
433,404,no
434,270,no
435,241,no
436,135,no
437,317,no
438,286,no
439,895,yes
440,109,no
441,151,no
442,230,yes
443,57,no
444,655,yes
445,367,yes
446,260,yes
447,446,no
448,653,yes
449,113,no
450,645,yes
451,587,yes
452,142,yes
453,829,yes
454,102,no
455,148,yes
456,1019,yes
457,537,yes
458,160,yes
459,204,no
460,164,no
461,523,no
462,362,yes
463,151,no
464,167,no
465,136,no
466,102,no
467,1980,yes
468,243,yes
469,192,no
470,482,yes
471,477,no
472,252,no
473,1127,yes
474,459,no
475,211,yes
476,193,yes
477,395,no
478,223,no
479,686,yes
480,51,no
481,355,yes
482,298,no
483,42,no
484,1143,yes
485,688,yes
486,628,yes
487,706,yes
488,608,yes
489,250,no
490,107,yes
491,716,yes
492,619,yes
493,406,no
494,73,no
495,127,no
496,187,no
497,180,yes
498,326,yes
499,109,yes
500,470,yes
501,73,no
502,141,no
503,115,no
504,171,no
505,498,no
506,365,yes
507,10,no
508,796,yes
509,279,yes
510,476,yes
511,479,yes
512,225,no
513,204,no
514,806,yes
515,290,no
516,473,yes
517,142,no
