price,size,year,view
234314.144,643.09,2015,No sea view
228581.528,656.22,2009,No sea view
281626.336,487.29,2018,Sea view
401255.608,1504.75,2015,No sea view
458674.256,1275.46,2009,Sea view
245050.28,575.19,2006,Sea view
265129.064,570.89,2015,Sea view
175716.48,620.82,2006,No sea view
331101.344,682.26,2018,Sea view
218630.608,694.52,2009,No sea view
279555.096,1060.36,2009,No sea view
494778.992,1842.51,2009,Sea view
215472.104,694.52,2015,No sea view
418753.008,1009.25,2018,No sea view
444192.008,1300.96,2006,Sea view
440201.616,1379.72,2006,Sea view
248337.6,690.54,2018,No sea view
234178.16,623.94,2006,Sea view
225451.984,681.07,2006,No sea view
299416.976,1027.76,2018,No sea view
268125.08,620.71,2015,Sea view
171795.24,549.69,2015,No sea view
412569.472,1207.45,2015,Sea view
183459.488,518.38,2015,No sea view
168047.264,525.81,2009,No sea view
362519.72,1103.3,2018,Sea view
271793.312,570.89,2018,Sea view
406852.304,1334.1,2015,Sea view
297760.44,681.07,2015,Sea view
368988.432,1496.36,2015,No sea view
301635.728,1010.33,2006,No sea view
225452.32,681.07,2006,No sea view
207742.248,597.9,2009,No sea view
191486.896,525.81,2015,No sea view
285223.176,857.54,2018,No sea view
302000.92,622.97,2018,Sea view
269225.92,823.21,2006,No sea view
233493.208,570.25,2006,Sea view
292965.216,685.48,2018,Sea view
245747.2,698.29,2015,No sea view
310045.712,1021.95,2015,No sea view
217468.224,682.26,2018,No sea view
287350,823.21,2009,Sea view
414682.648,1334.1,2009,No sea view
293044.496,1060.36,2018,No sea view
300061.48,698.29,2015,Sea view
204302.976,633.19,2009,No sea view
201778.048,698.29,2006,No sea view
257828.416,633.19,2015,Sea view
262423.504,617.05,2015,Sea view
225656.12,647.5,2015,No sea view
393069.76,1021.95,2015,Sea view
258637.008,1021.95,2009,No sea view
269523.056,727.88,2006,Sea view
255629.16,647.5,2015,Sea view
500681.128,1508.84,2018,Sea view
320345.52,1032.06,2018,No sea view
395242.096,1283.85,2015,Sea view
330677.128,827.84,2006,Sea view
251332.592,569.17,2015,Sea view
251188.824,828.16,2018,No sea view
263311.696,698.5,2015,No sea view
359674.44,1205.62,2015,No sea view
334938.872,1021.95,2009,Sea view
302393.384,685.48,2015,Sea view
304587.272,827.09,2015,No sea view
355251.2,1009.25,2006,Sea view
271726.752,549.8,2015,Sea view
294582.944,685.48,2018,Sea view
454512.76,1496.36,2006,Sea view
276875.632,1021.95,2009,No sea view
181587.576,643.41,2006,No sea view
298926.496,656.22,2015,Sea view
211724.096,549.8,2015,No sea view
228313.024,685.48,2018,No sea view
286161.6,685.48,2018,Sea view
382120.152,1183.46,2018,Sea view
365863.936,1334.1,2006,No sea view
251560.04,682.26,2009,Sea view
342988.456,1188.62,2006,Sea view
180307.216,681.07,2006,No sea view
408637.816,1122.34,2015,Sea view
190909.056,681.07,2006,No sea view
282683.544,643.09,2018,Sea view
303597.216,685.48,2018,Sea view
376253.808,1009.25,2018,Sea view
154282.128,479.75,2006,No sea view
327252.112,1028.41,2009,Sea view
211904.536,601.66,2018,No sea view
354512.112,1236.93,2018,No sea view
251140.656,694.52,2018,No sea view
338078.168,1071.55,2015,No sea view
298170.88,694.52,2015,Sea view
266684.248,698.29,2018,No sea view
262477.856,698.29,2006,Sea view
252460.4,549.8,2009,Sea view
310522.592,1037.44,2009,No sea view
383635.568,1504.75,2006,No sea view
225145.248,648.29,2015,No sea view
274922.856,705.29,2006,Sea view
