1,1188,1188,5.33,5.33,0,8.91,0.12,0,0,39
2,648,648,5.33,5.33,0,8.91,0.48,0,0,91
3,2160,2160,7.69,7.69,0,8.91,0,680.4,0,0
4,1674,3348,8,16,1,10,0,0,0,27
5,2160,2160,5.66,5.66,0,8.91,0.12,734.4,0,198
6,2160,2160,6.58,6.58,0,8.91,0,734.4,0,0
7,2160,2160,5.33,5.33,0,8.91,0,680.4,0,0
8,2160,2160,7.93,7.93,0,8.91,0.03,680.4,0,152
9,2160,2160,4.09,4.09,0,8.91,0,680.4,0,0
10,2160,2160,5.61,5.61,0,8.91,0,0,0,21
11,2160,2160,10.13,10.13,1,10,0.34,1166.4,0,15
12,1620,1620,5.33,5.33,0,8.91,0,0,0,1
13,1620,1620,5.33,5.33,1,6,0,0,0,8
14,1620,1620,5.33,5.33,0,8.91,0.29,1188,0,27
15,648,648,5.33,5.33,0,8.91,0,696.6,0,0
16,1188,1188,7.68,7.68,0,8.91,0,696.6,0,0
17,1188,1188,8.48,8.48,0,8.91,0,0,0,32
18,2160,2160,5.33,5.33,0,8.91,0,0,0,4
19,1188,1188,5.69,5.69,0,8.91,0,0,0,30
20,1620,1620,5.61,5.61,0,10,0,0,0,2
21,1242,2484,16.8,33.59,1,10,0,680.4,0,0
22,756,1512,5.33,10.67,0,8.91,0,0,0,0
23,1188,1188,104,104,0,10,0,0,0,0
24,1620,1620,8,8,0,1,0.35,0,0,12
25,1188,1188,5.33,5.33,0,8.91,0.18,142.56,0,4
26,1188,1188,5.33,5.33,0,3,0,64.8,0,321
27,2160,2160,5.33,5.33,0,8.91,0.02,0,0,0
28,1620,1620,24.16,24.16,1,10,0.4,0,0,0
29,1134,2268,10.13,20.27,1,10,0,0,0,102
30,1476,4428,6.93,20.8,0,9,0,172.8,0,282
